Meta Data
Label,Value,
Date,5/9/2022
Profile,HillsAndValleys
ScanDuration,300 s
ScanLength,7050.36 µm
ScanResolution,0.0783356 µm
ScanType,Standard Scan
StylusForce,5 mg
StylusScanRange,524 µm
StylusType,Radius: 12.5 μm
Time,9:49:30 AM


Data Leveling Position
R Cursor Position,1701.88708457139 µm
R Cursor Width,0 µm
M Cursor Position,2236.26366251348 µm
M Cursor Width,0 µm


Data
Lateral(µm),Total Profile(Å),,
0,357.840540467436,,
0.0783355925383954,358.409727192881,,
0.156671185076791,340.270520672568,,
0.235006777615186,342.165356322231,,
0.313342370153582,334.720462487734,,
0.391677962691977,327.49849700868,,
0.470013555230373,322.200252033918,,
0.548349147768768,316.943940762278,,
0.626684740307164,310.408635888466,,
0.705020332845559,306.37744720901,,
0.783355925383954,303.727516094416,,
0.86169151792235,302.894906390459,,
0.940027110460745,314.438720048098,,
1.01836270299914,307.773669534428,,
1.09669829553754,312.323372992597,,
1.17503388807593,318.319021792017,,
1.25336948061433,315.286951420328,,
1.33170507315272,312.749888072554,,
1.41004066569112,320.799509577061,,
1.48837625822951,319.309000783575,,
1.56671185076791,317.62471131678,,
1.6450474433063,315.741011271184,,
1.7233830358447,303.656860871443,,
1.8017186283831,301.529150422394,,
1.88005422092149,310.032621774114,,
1.95838981345989,309.067959285657,,
2.03672540599828,298.055975350201,,
2.11506099853668,287.246919756271,,
2.19339659107507,287.567021334315,,
2.27173218361347,299.747572606225,,
2.35006777615186,293.516441007557,,
2.42840336869026,298.092669167416,,
2.50673896122865,303.751199066943,,
2.58507455376705,290.067799867968,,
2.66341014630545,296.916926325407,,
2.74174573884384,295.086087356982,,
2.82008133138224,294.105002846106,,
2.89841692392063,303.984639536454,,
2.97675251645903,304.451917065673,,
3.05508810899742,294.638968458382,,
3.13342370153582,294.480666284726,,
3.21175929407421,294.48575786808,,
3.29009488661261,284.560279771162,,
3.368430479151,284.788169919481,,
3.4467660716894,285.755055445805,,
3.5251016642278,277.357791513547,,
3.60343725676619,279.603956406546,,
3.68177284930459,282.978842189473,,
3.76010844184298,277.299174439189,,
3.83844403438138,272.484700551617,,
3.91677962691977,279.073730653289,,
3.99511521945817,277.35001707097,,
4.07345081199656,286.982839378177,,
4.15178640453496,277.91654142287,,
4.23012199707335,289.65554295663,,
4.30845758961175,292.5756554459,,
4.38679318215014,285.830411089437,,
4.46512877468854,289.292803271745,,
4.54346436722694,283.231043813328,,
4.62179995976533,287.322663294653,,
4.70013555230373,291.609590905613,,
4.77847114484212,285.393635667459,,
4.85680673738052,278.095417933834,,
4.93514232991891,269.838997300716,,
5.01347792245731,260.86169894021,,
5.0918135149957,261.554663346236,,
5.1701491075341,252.280807509117,,
5.2484847000725,243.024151561417,,
5.32682029261089,234.467432645637,,
5.40515588514929,237.315991240567,,
5.48349147768768,231.997825264307,,
5.56182707022608,238.311127777116,,
5.64016266276447,246.441936180703,,
5.71849825530287,235.864437412831,,
5.79683384784126,236.375095122155,,
5.87516944037966,238.939231145571,,
5.95350503291805,243.845922897533,,
6.03184062545645,251.193292500611,,
6.11017621799485,260.800156455729,,
6.18851181053324,262.126600843975,,
6.26684740307164,274.495880509053,,
6.34518299561003,277.515546131331,,
6.42351858814843,280.276178011036,,
6.50185418068682,282.644272071973,,
6.58018977322522,264.652555816153,,
