#       Time / ps                probe_post [pw] (sigb=1)/real
#----------------------------------------------------------------------
                       0                               0
             0.002002993                               0
            0.0040059859                               0
            0.0060089789                               0
            0.0080119718                               0
             0.010014965                               0
             0.012017958                               0
             0.014020951                               0
             0.016023944                               0
             0.018026937                               0
              0.02002993                               0
             0.022032923                               0
             0.024035916                               0
             0.026038908                               0
             0.028041901                               0
             0.030044894                               0
             0.032047887                               0
              0.03405088                               0
             0.036053873                               0
             0.038056866                               0
             0.040059859                               0
             0.042062852                               0
             0.044065845                               0
             0.046068838                               0
             0.048071831                               0
             0.050074824                               0
             0.052077817                               0
              0.05408081                               0
             0.056083803                               0
             0.058086796                               0
             0.060089789                               0
             0.062092782                               0
             0.064095775                               0
             0.066098768                               0
             0.068101761                               0
             0.070104754                               0
             0.072107747                               0
              0.07411074                               0
             0.076113733                               0
             0.078116725                               0
             0.080119718                               0
             0.082122711                               0
             0.084125704                               0
             0.086128697                               0
              0.08813169                               0
             0.090134683                               0
             0.092137676                               0
             0.094140669                               0
             0.096143662                               0
             0.098146655                               0
              0.10014965                               0
              0.10215264                               0
              0.10415563                               0
              0.10615863                               0
              0.10816162                               0
              0.11016461                               0
              0.11216761                               0
               0.1141706                               0
              0.11617359                               0
              0.11817658                               0
              0.12017958                               0
              0.12218257                               0
              0.12418556                               0
              0.12618856                               0
              0.12819155                               0
              0.13019454                               0
              0.13219754                               0
              0.13420053                               0
              0.13620352                               0
              0.13820651                               0
              0.14020951                               0
               0.1422125                               0
              0.14421549                               0
              0.14621849                               0
              0.14822148                               0
              0.15022447                               0
              0.15222747                               0
              0.15423046                               0
              0.15623345                               0
              0.15823644                               0
              0.16023944                               0
              0.16224243                               0
              0.16424542                               0
              0.16624842                               0
              0.16825141                               0
               0.1702544                               0
              0.17225739                               0
              0.17426039                               0
              0.17626338                               0
              0.17826637                               0
              0.18026937                               0
              0.18227236                               0
              0.18427535                               0
              0.18627835                               0
              0.18828134                               0
              0.19028433                               0
              0.19228732                               0
              0.19429032                               0
              0.19629331                               0
               0.1982963                               0
               0.2002993                               0
              0.20230229                               0
              0.20430528                               0
              0.20630827                               0
              0.20831127                               0
              0.21031426                               0
              0.21231725                               0
              0.21432025                               0
              0.21632324                               0
              0.21832623                               0
              0.22032923                               0
              0.22233222                               0
              0.22433521                               0
               0.2263382                               0
               0.2283412                               0
              0.23034419                               0
              0.23234718                               0
              0.23435018                               0
              0.23635317                               0
              0.23835616                               0
              0.24035916                               0
              0.24236215                               0
              0.24436514                               0
              0.24636813                               0
              0.24837113                               0
              0.25037412                               0
              0.25237711                               0
              0.25438011                               0
               0.2563831                               0
              0.25838609                               0
              0.26038908                               0
              0.26239208                               0
              0.26439507                               0
              0.26639806                               0
              0.26840106                               0
              0.27040405                               0
              0.27240704                               0
              0.27441004                               0
              0.27641303                               0
              0.27841602                               0
              0.28041901                               0
              0.28242201                               0
                0.284425                               0
              0.28642799                               0
              0.28843099                               0
              0.29043398                               0
              0.29243697                               0
              0.29443997                               0
              0.29644296                               0
              0.29844595                               0
              0.30044894                               0
              0.30245194                               0
              0.30445493                               0
              0.30645792                               0
              0.30846092                               0
              0.31046391                               0
               0.3124669                               0
              0.31446989                               0
              0.31647289                               0
              0.31847588                               0
              0.32047887                               0
              0.32248187                               0
              0.32448486                               0
              0.32648785                               0
              0.32849085                               0
              0.33049384                               0
              0.33249683                               0
              0.33449982                               0
              0.33650282                               0
              0.33850581                               0
               0.3405088                               0
               0.3425118                               0
              0.34451479                               0
              0.34651778                               0
              0.34852078                               0
              0.35052377                               0
              0.35252676                               0
              0.35452975                               0
              0.35653275                               0
              0.35853574                               0
              0.36053873                               0
              0.36254173                               0
              0.36454472                               0
              0.36654771                               0
               0.3685507                               0
               0.3705537                               0
              0.37255669                               0
              0.37455968                               0
              0.37656268                               0
              0.37856567                               0
              0.38056866                               0
              0.38257166                               0
              0.38457465                               0
              0.38657764                               0
              0.38858063                               0
              0.39058363                               0
              0.39258662                               0
              0.39458961                               0
              0.39659261                               0
               0.3985956                               0
              0.40059859                               0
              0.40260159                               0
              0.40460458                               0
              0.40660757                               0
              0.40861056                               0
              0.41061356                               0
              0.41261655                               0
              0.41461954                               0
              0.41662254                               0
              0.41862553                               0
              0.42062852                               0
              0.42263151                               0
              0.42463451                               0
               0.4266375                               0
              0.42864049                               0
              0.43064349                               0
              0.43264648                               0
              0.43464947                               0
              0.43665247                               0
              0.43865546                               0
              0.44065845                               0
              0.44266144                               0
              0.44466444                               0
              0.44666743                               0
              0.44867042                               0
              0.45067342                               0
              0.45267641                               0
               0.4546794                               0
               0.4566824                               0
              0.45868539                               0
              0.46068838                               0
              0.46269137                               0
              0.46469437                               0
              0.46669736                               0
              0.46870035                               0
              0.47070335                               0
              0.47270634                               0
              0.47470933                               0
              0.47671232                               0
              0.47871532                               0
              0.48071831                               0
               0.4827213                               0
               0.4847243                               0
              0.48672729                               0
              0.48873028                               0
              0.49073328                               0
              0.49273627                               0
              0.49473926                               0
              0.49674225                               0
              0.49874525                               0
              0.50074824                               0
              0.50275123                               0
              0.50475423                               0
              0.50675722                               0
              0.50876021                               0
               0.5107632                               0
               0.5127662                               0
              0.51476919                               0
              0.51677218                               0
              0.51877518                               0
              0.52077817                               0
              0.52278116                               0
              0.52478416                               0
              0.52678715                               0
              0.52879014                               0
              0.53079313                               0
              0.53279613                               0
              0.53479912                               0
              0.53680211                               0
              0.53880511                               0
               0.5408081                               0
              0.54281109                               0
              0.54481409                               0
              0.54681708                               0
              0.54882007                               0
              0.55082306                               0
              0.55282606                               0
              0.55482905                               0
              0.55683204                               0
              0.55883504                               0
              0.56083803                               0
              0.56284102                               0
              0.56484401                               0
              0.56684701                               0
                 0.56885                               0
              0.57085299                               0
              0.57285599                               0
              0.57485898                               0
              0.57686197                               0
              0.57886497                               0
              0.58086796                               0
              0.58287095                               0
              0.58487394                               0
              0.58687694                               0
              0.58887993                               0
              0.59088292                               0
              0.59288592                               0
              0.59488891                               0
               0.5968919                               0
               0.5988949                               0
              0.60089789                               0
              0.60290088                               0
              0.60490387                               0
              0.60690687                               0
              0.60890986                               0
              0.61091285                               0
              0.61291585                               0
              0.61491884                               0
              0.61692183                               0
              0.61892482                               0
              0.62092782                               0
              0.62293081                               0
               0.6249338                               0
               0.6269368                               0
              0.62893979                               0
              0.63094278                               0
              0.63294578                               0
              0.63494877                               0
              0.63695176                               0
              0.63895475                               0
              0.64095775                               0
              0.64296074                               0
              0.64496373                               0
              0.64696673                               0
              0.64896972                               0
              0.65097271                               0
              0.65297571                               0
               0.6549787                               0
              0.65698169                               0
              0.65898468                               0
              0.66098768                               0
              0.66299067                               0
              0.66499366                               0
              0.66699666                               0
              0.66899965                               0
              0.67100264                               0
              0.67300563                               0
              0.67500863                               0
              0.67701162                               0
              0.67901461                               0
              0.68101761                               0
               0.6830206                               0
              0.68502359                               0
              0.68702659                               0
              0.68902958                               0
              0.69103257                               0
              0.69303556                               0
              0.69503856                               0
              0.69704155                               0
              0.69904454                               0
              0.70104754                               0
              0.70305053                               0
              0.70505352                               0
              0.70705652                               0
              0.70905951                               0
               0.7110625                               0
              0.71306549                               0
              0.71506849                               0
              0.71707148                               0
              0.71907447                               0
              0.72107747                               0
              0.72308046                               0
              0.72508345                               0
              0.72708644                               0
              0.72908944                               0
              0.73109243                               0
              0.73309542                               0
              0.73509842                               0
              0.73710141                               0
               0.7391044                               0
               0.7411074                               0
              0.74311039                               0
              0.74511338                               0
              0.74711637                               0
              0.74911937                               0
              0.75112236                               0
              0.75312535                               0
              0.75512835                               0
              0.75713134                               0
              0.75913433                               0
              0.76113733                               0
              0.76314032                               0
              0.76514331                               0
               0.7671463                               0
               0.7691493                               0
              0.77115229                               0
              0.77315528                               0
              0.77515828                               0
              0.77716127                               0
              0.77916426                               0
              0.78116725                               0
              0.78317025                               0
              0.78517324                               0
              0.78717623                               0
              0.78917923                               0
              0.79118222                               0
              0.79318521                               0
              0.79518821                               0
               0.7971912                               0
              0.79919419                               0
              0.80119718                               0
              0.80320018                               0
              0.80520317                               0
              0.80720616                               0
              0.80920916                               0
              0.81121215                               0
              0.81321514                               0
              0.81521813                               0
              0.81722113                               0
              0.81922412                               0
              0.82122711                               0
              0.82323011                               0
               0.8252331                               0
              0.82723609                               0
              0.82923909                               0
              0.83124208                               0
              0.83324507                               0
              0.83524806                               0
              0.83725106                               0
              0.83925405                               0
              0.84125704                               0
              0.84326004                               0
              0.84526303                               0
              0.84726602                               0
              0.84926902                               0
              0.85127201                               0
                0.853275                               0
              0.85527799                               0
              0.85728099                               0
              0.85928398                               0
              0.86128697                               0
              0.86328997                               0
              0.86529296                               0
              0.86729595                               0
              0.86929894                               0
              0.87130194                               0
              0.87330493                               0
              0.87530792                               0
              0.87731092                               0
              0.87931391                               0
               0.8813169                               0
               0.8833199                               0
              0.88532289                               0
              0.88732588                               0
              0.88932887                               0
              0.89133187                               0
              0.89333486                               0
              0.89533785                               0
              0.89734085                               0
              0.89934384                               0
              0.90134683                               0
              0.90334983                               0
              0.90535282                               0
              0.90735581                               0
               0.9093588                               0
               0.9113618                               0
              0.91336479                               0
              0.91536778                               0
              0.91737078                               0
              0.91937377                               0
              0.92137676                               0
              0.92337975                               0
              0.92538275                               0
              0.92738574                               0
              0.92938873                               0
              0.93139173                               0
              0.93339472                               0
              0.93539771                               0
              0.93740071                               0
               0.9394037                               0
              0.94140669                               0
              0.94340968                               0
              0.94541268                               0
              0.94741567                               0
              0.94941866                               0
              0.95142166                               0
              0.95342465                               0
              0.95542764                               0
              0.95743064                               0
              0.95943363                               0
              0.96143662                               0
              0.96343961                               0
              0.96544261                               0
               0.9674456                               0
              0.96944859                               0
              0.97145159                               0
              0.97345458                               0
              0.97545757                               0
              0.97746056                               0
              0.97946356                               0
              0.98146655                               0
              0.98346954                               0
              0.98547254                               0
              0.98747553                               0
              0.98947852                               0
              0.99148152                               0
              0.99348451                               0
               0.9954875                               0
              0.99749049                               0
              0.99949349                               0
               1.0014965                               0
               1.0034995                               0
               1.0055025                               0
               1.0075055                               0
               1.0095085                               0
               1.0115114                               0
               1.0135144                               0
               1.0155174                               0
               1.0175204                               0
               1.0195234                               0
               1.0215264                               0
               1.0235294                               0
               1.0255324                               0
               1.0275354                               0
               1.0295384                               0
               1.0315414                               0
               1.0335444                               0
               1.0355474                               0
               1.0375504                               0
               1.0395533                               0
               1.0415563                               0
               1.0435593                               0
               1.0455623                               0
               1.0475653                               0
               1.0495683                               0
               1.0515713                               0
               1.0535743                               0
               1.0555773                               0
               1.0575803                               0
               1.0595833                               0
               1.0615863                               0
               1.0635893                               0
               1.0655923                               0
               1.0675952                               0
               1.0695982                               0
               1.0716012                               0
               1.0736042                               0
               1.0756072                               0
               1.0776102                               0
               1.0796132                               0
               1.0816162                               0
               1.0836192                               0
               1.0856222                               0
               1.0876252                               0
               1.0896282                               0
               1.0916312                               0
               1.0936342                               0
               1.0956371                               0
               1.0976401                               0
               1.0996431                               0
               1.1016461                               0
               1.1036491                               0
               1.1056521                               0
               1.1076551                               0
               1.1096581                               0
               1.1116611                               0
               1.1136641                               0
               1.1156671                               0
               1.1176701                               0
               1.1196731                               0
               1.1216761                               0
               1.1236791                               0
                1.125682                               0
                1.127685                               0
                1.129688                               0
                1.131691                               0
                1.133694                               0
                1.135697                               0
                  1.1377                               0
                1.139703                               0
                1.141706                               0
                1.143709                               0
                1.145712                               0
                1.147715                               0
                1.149718                               0
                1.151721                               0
               1.1537239                               0
               1.1557269                               0
               1.1577299                               0
               1.1597329                               0
               1.1617359                               0
               1.1637389                               0
               1.1657419                               0
               1.1677449                               0
               1.1697479                               0
               1.1717509                               0
               1.1737539                               0
               1.1757569                               0
               1.1777599                               0
               1.1797629                               0
               1.1817658                               0
               1.1837688                               0
               1.1857718                               0
               1.1877748                               0
               1.1897778                               0
               1.1917808                               0
               1.1937838                               0
               1.1957868                               0
               1.1977898                               0
               1.1997928                               0
               1.2017958                               0
               1.2037988                               0
               1.2058018                               0
               1.2078048                               0
               1.2098077                               0
               1.2118107                               0
               1.2138137                               0
               1.2158167                               0
               1.2178197                               0
               1.2198227                               0
               1.2218257                               0
               1.2238287                               0
               1.2258317                               0
               1.2278347                               0
               1.2298377                               0
               1.2318407                               0
               1.2338437                               0
               1.2358467                               0
               1.2378496                               0
               1.2398526                               0
               1.2418556                               0
               1.2438586                               0
               1.2458616                               0
               1.2478646                               0
               1.2498676                               0
               1.2518706                               0
               1.2538736                               0
               1.2558766                               0
               1.2578796                               0
               1.2598826                               0
               1.2618856                               0
               1.2638886                               0
               1.2658916                               0
               1.2678945                               0
               1.2698975                               0
               1.2719005                               0
               1.2739035                               0
               1.2759065                               0
               1.2779095                               0
               1.2799125                               0
               1.2819155                               0
               1.2839185                               0
               1.2859215                               0
               1.2879245                               0
               1.2899275                               0
               1.2919305                               0
               1.2939335                               0
               1.2959364                               0
               1.2979394                               0
               1.2999424                               0
               1.3019454                               0
               1.3039484                               0
               1.3059514                               0
               1.3079544                               0
               1.3099574                               0
               1.3119604                               0
               1.3139634                               0
               1.3159664                               0
               1.3179694                               0
               1.3199724                               0
               1.3219754                               0
               1.3239783                               0
               1.3259813                               0
               1.3279843                               0
               1.3299873                               0
               1.3319903                               0
               1.3339933                               0
               1.3359963                               0
               1.3379993                               0
               1.3400023                               0
               1.3420053                               0
               1.3440083                               0
               1.3460113                               0
               1.3480143                               0
               1.3500173                               0
               1.3520202                               0
               1.3540232                               0
               1.3560262                               0
               1.3580292                               0
               1.3600322                               0
               1.3620352                               0
               1.3640382                               0
               1.3660412                               0
               1.3680442                               0
               1.3700472                               0
               1.3720502                               0
               1.3740532                               0
               1.3760562                               0
               1.3780592                               0
               1.3800621                               0
               1.3820651                               0
               1.3840681                               0
               1.3860711                               0
               1.3880741                               0
               1.3900771                               0
               1.3920801                               0
               1.3940831                               0
               1.3960861                               0
               1.3980891                               0
               1.4000921                               0
               1.4020951                               0
               1.4040981                               0
               1.4061011                               0
               1.4081041                               0
                1.410107                               0
                 1.41211                               0
                1.414113                               0
                1.416116                               0
                1.418119                               0
                1.420122                               0
                1.422125                               0
                1.424128                               0
                1.426131                               0
                1.428134                               0
                1.430137                               0
                 1.43214                               0
                1.434143                               0
                1.436146                               0
               1.4381489                               0
               1.4401519                               0
               1.4421549                               0
               1.4441579                               0
               1.4461609                               0
               1.4481639                               0
               1.4501669                               0
               1.4521699                               0
               1.4541729                               0
               1.4561759                               0
               1.4581789                               0
               1.4601819                               0
               1.4621849                               0
               1.4641879                               0
               1.4661908                               0
               1.4681938                               0
               1.4701968                               0
               1.4721998                               0
               1.4742028                               0
               1.4762058                               0
               1.4782088                               0
               1.4802118                               0
               1.4822148                               0
               1.4842178                               0
               1.4862208                               0
               1.4882238                               0
               1.4902268                               0
               1.4922298                               0
               1.4942327                               0
               1.4962357                               0
               1.4982387                               0
               1.5002417                               0
               1.5022447                               0
               1.5042477                               0
               1.5062507                               0
               1.5082537                               0
               1.5102567                               0
               1.5122597                               0
               1.5142627                               0
               1.5162657                               0
               1.5182687                               0
               1.5202717                               0
               1.5222747                               0
               1.5242776                               0
               1.5262806                               0
               1.5282836                               0
               1.5302866                               0
               1.5322896                               0
               1.5342926                               0
               1.5362956                               0
               1.5382986                               0
               1.5403016                               0
               1.5423046                               0
               1.5443076                               0
               1.5463106                               0
               1.5483136                               0
               1.5503166                               0
               1.5523195                               0
